parameter_name,parameter_value,N,s,sig_p,sig_m,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr,eakf_vs_enkf,improve_enkf_tr,eakf_tr_vs_enkf,experiment_type
s,9.000000,30,9,0.500000,0.150000,3.417674,2.627133,2.090593,1.543319,23.130966,38.829952,54.843000,s_sensitivity
s,12.000000,30,12,0.500000,0.150000,2.889572,2.516179,2.377762,2.068570,12.922093,17.712303,28.412601,s_sensitivity
s,18.000000,30,18,0.500000,0.150000,2.990865,2.949867,2.753639,2.506346,1.370749,7.931685,16.199942,s_sensitivity
N,30.000000,30,9,0.500000,0.150000,3.417674,2.627133,2.090593,1.543319,23.130966,38.829952,54.843000,N_sensitivity
N,50.000000,50,9,0.500000,0.150000,2.658111,2.603469,1.369999,1.320124,2.055706,48.459688,50.336023,N_sensitivity
N,70.000000,70,9,0.500000,0.150000,2.530423,2.486220,1.231316,1.151238,1.746858,51.339516,54.504123,N_sensitivity
sig_p,0.450000,30,9,0.450000,0.150000,2.948677,2.602820,1.762745,1.564486,11.729237,40.219115,46.942797,sig_p_sensitivity
sig_p,0.500000,30,9,0.500000,0.150000,3.417674,2.627133,2.090593,1.543319,23.130966,38.829952,54.843000,sig_p_sensitivity
sig_p,0.600000,30,9,0.600000,0.150000,3.605971,3.175358,2.135220,1.873616,11.941685,40.786538,48.041289,sig_p_sensitivity
sig_p,0.650000,30,9,0.650000,0.150000,3.437435,2.851169,1.917224,1.629835,17.055336,44.225156,52.585719,sig_p_sensitivity
sig_m,0.050000,30,9,0.500000,0.050000,2.986368,2.737750,1.712690,1.496180,8.325100,42.649725,49.899675,sig_m_sensitivity
sig_m,0.150000,30,9,0.500000,0.150000,3.417674,2.627133,2.090593,1.543319,23.130966,38.829952,54.843000,sig_m_sensitivity
sig_m,0.300000,30,9,0.500000,0.300000,2.992324,2.958096,1.769589,1.879007,1.143864,40.862386,37.205773,sig_m_sensitivity
sig_m,0.350000,30,9,0.500000,0.350000,3.183899,2.833074,1.902276,1.737305,11.018735,40.253258,45.434691,sig_m_sensitivity
sig_m,0.400000,30,9,0.500000,0.400000,3.346283,3.035243,2.029676,1.752661,9.295095,39.345358,47.623641,sig_m_sensitivity
